artist_searched,artist,track_name,album,release_date,popularity,duration_ms,explicit,track_id
j. cole,J. Cole,Work Out,Cole World: The Sideline Story,2011-09-27,,235320,True,2wAJTrFhCnQyNSD3oUgTZO
j. cole,KAROL G,Coleccionando Heridas,Tropicoqueta,2025-06-20,,204794,False,3ddJ8Vbc5tYPxq5zKRVke6
j. cole,J. Cole,No Role Modelz,2014 Forest Hills Drive,2014-12-09,,292799,True,68Dni7IE4VyPkTOH9mRWHr
j. cole,J. Cole,Wet Dreamz,2014 Forest Hills Drive,2014-12-09,,239266,True,4tqcoej1zPvwePZCzuAjJd
j. cole,Miguel,All I Want Is You (feat. J. Cole),All I Want Is You,2010-11-30,,295920,False,5VA4Ispp52EA1sOqzMz3Av
lil dicky,Lil Dicky,Earth,Earth,2019-04-18,,281500,True,7lakl3bPRdQqUGX9m755jX
lil dicky,Lil Dicky,Freaky Friday (feat. Chris Brown),Freaky Friday (feat. Chris Brown),2018-03-16,,216631,True,6dbSBQXCctYSVryynHXaZ4
lil dicky,Lil Dicky,Professional Rapper (feat. Snoop Dogg),Professional Rapper,2015-07-31,,353959,True,5TlAXiBCBwiQnIZUAA4Jkg
lil dicky,Lil Dicky,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),Professional Rapper,2015-07-31,,290835,True,1TkWsnheqK0gBtvh07BtNX
lil dicky,Justin Bieber,Running Over (feat. Lil Dicky),Changes,2020-02-14,,179626,False,75nKBP8jQu681pTNCtrEnn
eminem,Eminem,Love The Way You Lie,Recovery,2010-06-18,,263373,True,15JINEqzVMv3SvJTAXAKED
eminem,Eminem,Mockingbird,Encore (Deluxe Version),2004-11-12,,250760,True,561jH07mF1jHuk7KlaeF0s
eminem,Eminem,Without Me,The Eminem Show,2002-05-26,,290320,True,7lQ8MOhq6IN2w8EYcFNSUk
eminem,Eminem,The Real Slim Shady,The Marshall Mathers LP,2000-05-23,,284200,True,3yfqSUWxFvZELEM4PmlwIR
eminem,Eminem,Lose Yourself,Just Lose It,2004-01-01,,322226,True,1v7L65Lzy0j0vdpRjJewt1
dmx,DMX,Party Up,...And Then There Was X,1999-12-21,,268866,True,0LWkaEyQRkF0XAms8Bg1fC
dmx,DMX,X Gon' Give It To Ya,The Definition Of X: Pick Of The Litter,2007-06-12,,217586,True,1zzxoZVylsna2BQB65Ppcb
dmx,DMX,Ruff Ryders' Anthem,It's Dark And Hell Is Hot,1998-05-01,,214440,True,1BKT2I9x4RGKaKqW4up34s
dmx,DMX,X Gon' Give It To Ya - Int'l Bonus track,Grand Champ,2003-01-01,,219733,False,66orjI5vOkyxOZLHWrPklh
dmx,DMX,Where The Hood At,Grand Champ,2003-01-01,,286266,True,6RUpJeXT6U4SPEafnr9Wr7
kehlani,Kehlani,Folded,Folded,2025-06-11,,238120,False,0bxPRWprUVpQK0UFcddkrA
kehlani,Kehlani,Gangsta,Suicide Squad: The Album,2016-08-05,,177028,True,1W7zkKgRv9mrLbfdQ8XyH3
kehlani,Kehlani,Folded - A COLORS SHOW,Folded - A COLORS SHOW,2025-12-22,,261213,False,0dZG4yK5yPxGBbViV97mky
kehlani,Kehlani,Nights Like This (feat. Ty Dolla $ign),While We Wait,2019-02-22,,201787,True,6ZRuF2n1CQxyxxAAWsKJOy
kehlani,Zara Larsson,Blue Moon - Girls Trip,Midnight Sun: Girls Trip,2026-05-01,,192723,False,7pVos5ARWPPoss91LDu9Hx
future,Future,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,2022-04-29,,189893,True,59nOXPmaKlBfGMDeOVGrIK
future,Lil Wayne,Love Me,I Am Not A Human Being II (Deluxe),2013-01-01,,255053,True,2XHzzp1j4IfTNp1FTn7YFg
future,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),HEROES & VILLAINS,2022-12-02,,199920,True,2Hh3ETdQKrmSI3QS0hme7g
future,Drake,Ran To Atlanta (feat. Future & Molly Santana),ICEMAN,2026-05-15,,247183,True,3DK90400cDlV5WUJPraMph
future,Drake,Ran To Atlanta (feat. Future & Molly Santana),ICEMAN,2026-05-15,,247183,False,3W3JKjkGcoTIfbDlGRSNhL
